n_estimators,max_depth,min_samples_leaf,max_features,mean_AUC,std_AUC,rank
150,20,1,log2,0.9316308530275301,0.034059517928167436,1
150,20,1,sqrt,0.9316308530275301,0.034059517928167436,1
200,20,1,sqrt,0.9309197694044334,0.03429051783947355,3
200,20,1,log2,0.9309197694044334,0.03429051783947355,3
200,15,1,sqrt,0.9306089120230719,0.03382977174890072,5
200,15,1,log2,0.9306089120230719,0.03382977174890072,5
150,15,1,log2,0.9305699581689045,0.033530223555957264,7
150,15,1,sqrt,0.9305699581689045,0.033530223555957264,7
100,20,1,log2,0.9295322668696203,0.03467193367037124,9
100,20,1,sqrt,0.9295322668696203,0.03467193367037124,9
50,20,1,sqrt,0.9288797546554074,0.03247456884608958,11
50,20,1,log2,0.9288797546554074,0.03247456884608958,11
100,15,1,sqrt,0.9282629618598174,0.03370360538655539,13
100,15,1,log2,0.9282629618598174,0.03370360538655539,13
50,15,1,log2,0.926805708019347,0.03201555533447696,15
50,15,1,sqrt,0.9267963562817941,0.03202483388700947,16
150,10,1,sqrt,0.9247655526426884,0.033106584297257956,17
150,10,1,log2,0.9247655526426884,0.033106584297257956,17
200,10,1,log2,0.9246974185548035,0.03231720707638194,19
200,10,1,sqrt,0.9246974185548035,0.03231720707638194,19
100,10,1,sqrt,0.9245683223882847,0.033182478530167675,21
100,10,1,log2,0.9245683223882847,0.033182478530167675,21
50,10,1,log2,0.9228101957283513,0.031533134352086614,23
50,10,1,sqrt,0.9228101957283513,0.031533134352086614,23
200,10,5,sqrt,0.8954537617751033,0.02955702033627279,25
200,10,5,log2,0.8954537617751033,0.02955702033627279,25
200,15,5,sqrt,0.895415229803833,0.029588550290164262,27
200,15,5,log2,0.895415229803833,0.029588550290164262,27
200,20,5,sqrt,0.895415229803833,0.029588550290164262,27
200,20,5,log2,0.895415229803833,0.029588550290164262,27
100,10,5,sqrt,0.8949102359759795,0.029847346758428803,31
100,10,5,log2,0.8949102359759795,0.029847346758428803,31
150,10,5,sqrt,0.8948939231706244,0.030494331988106232,33
150,10,5,log2,0.8948939231706244,0.030494331988106232,33
100,20,5,log2,0.8943111622620686,0.03037722245946886,35
100,20,5,sqrt,0.8943111622620686,0.03037722245946886,35
100,15,5,log2,0.8943111622620686,0.03037722245946886,35
100,15,5,sqrt,0.8943111622620686,0.03037722245946886,35
150,15,5,log2,0.89427628660924,0.031018331335967188,39
150,20,5,sqrt,0.89427628660924,0.031018331335967188,39
150,15,5,sqrt,0.89427628660924,0.031018331335967188,39
150,20,5,log2,0.89427628660924,0.031018331335967188,39
50,10,5,sqrt,0.8906739691783606,0.030181486872488155,43
50,10,5,log2,0.8906739691783606,0.030181486872488155,43
50,20,5,log2,0.8903006028144089,0.031181141799751354,45
50,20,5,sqrt,0.8903006028144089,0.031181141799751354,45
50,15,5,log2,0.8903006028144089,0.031181141799751354,45
50,15,5,sqrt,0.8903006028144089,0.031181141799751354,45
50,5,1,sqrt,0.8893148031114707,0.026090258008864574,49
50,5,1,log2,0.8893148031114707,0.026090258008864574,49
200,5,1,log2,0.8891286121262082,0.026615182590415263,51
200,5,1,sqrt,0.8891286121262082,0.026615182590415263,51
100,5,1,log2,0.8888140281125887,0.02791237370328317,53
100,5,1,sqrt,0.8888140281125887,0.02791237370328317,53
150,5,1,sqrt,0.8883815981430402,0.02746382051447506,55
150,5,1,log2,0.8883815981430402,0.02746382051447506,55
200,5,5,sqrt,0.8791114246169797,0.026363591529347686,57
200,5,5,log2,0.8791114246169797,0.026363591529347686,57
100,5,5,log2,0.8789816253122987,0.0269020836812698,59
100,5,5,sqrt,0.8789816253122987,0.0269020836812698,59
50,15,10,sqrt,0.8789392963949544,0.025137760276454788,61
50,15,10,log2,0.8789392963949544,0.025137760276454788,61
50,20,10,sqrt,0.8789392963949544,0.025137760276454788,61
50,20,10,log2,0.8789392963949544,0.025137760276454788,61
150,5,5,log2,0.8788536541668389,0.027648292707791764,65
150,5,5,sqrt,0.8788536541668389,0.027648292707791764,65
50,10,10,log2,0.8787508553675739,0.02488599618941119,67
50,10,10,sqrt,0.8787508553675739,0.02488599618941119,67
150,20,10,sqrt,0.8786590255236341,0.026257705936143256,69
150,20,10,log2,0.8786590255236341,0.026257705936143256,69
150,15,10,sqrt,0.8786590255236341,0.026257705936143256,69
150,15,10,log2,0.8786590255236341,0.026257705936143256,69
200,20,10,sqrt,0.8785857585271675,0.026753952997591677,73
200,15,10,sqrt,0.8785857585271675,0.026753952997591677,73
200,20,10,log2,0.8785857585271675,0.026753952997591677,73
200,15,10,log2,0.8785857585271675,0.026753952997591677,73
150,10,10,sqrt,0.8785648050099436,0.026098876303992272,77
150,10,10,log2,0.8785648050099436,0.026098876303992272,77
200,10,10,log2,0.8783980206379489,0.02662869934517711,79
200,10,10,sqrt,0.8783980206379489,0.02662869934517711,79
50,5,5,sqrt,0.8783801609286374,0.026115424145252926,81
50,5,5,log2,0.8783801609286374,0.026115424145252926,81
100,15,10,sqrt,0.8781524847918246,0.02561070270711381,83
100,15,10,log2,0.8781524847918246,0.02561070270711381,83
100,20,10,sqrt,0.8781524847918246,0.02561070270711381,83
100,20,10,log2,0.8781524847918246,0.02561070270711381,83
100,10,10,sqrt,0.8781143747034516,0.025424651658278084,87
100,10,10,log2,0.8781143747034516,0.025424651658278084,87
100,5,10,log2,0.8734615688587422,0.024656426146299357,89
100,5,10,sqrt,0.8734615688587422,0.024656426146299357,89
50,5,10,sqrt,0.873299284570983,0.026516873124785914,91
50,5,10,log2,0.873299284570983,0.026516873124785914,91
200,5,10,log2,0.8727709465561558,0.025829340054258177,93
200,5,10,sqrt,0.8727709465561558,0.025829340054258177,93
150,5,10,sqrt,0.8719832911872318,0.025729221121940413,95
150,5,10,log2,0.8719832911872318,0.025729221121940413,95
